Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
B-25953,,-178.94,4,Electronic,Phones,COD
B-25617,19677.31,2303.13,4,Electronics,Phones,cod
B-25699,28008.45,3885.98,3,furniture ,Tables,cod
B-25964,251679.19999999998,4425.02,7,Furniture,Chairs,EMI
B-25734,6149.18,1244.98,5,CLOTHING,Saree,COD
B-26055,81931.58,13298.07,7,Furniture,Furnishings,UPI
B-25606,19974.35,3095.99,5,Electronics,Printers,COD
B-25905,75603.35,-9520.62,5,Furniture,Bookcases,cod
,19797.29,4784.0,8,clothing,Trouser,UPI
B-25810,45817.22,-5878.06,4,furniture ,Chairs,cod
B-25809,5605.55,280.01,3,CLOTHING,Tshirt,COD
B-25931,14114.12,805.56,4,Electronic,Phones,Debit Card
B-25707,29014.23,-1649.16,7,furniture ,Furnishings,UPI
B-25716,126358.24,14315.03,7,Furniture,Chairs,Debit Card
,26593.83,-930.87,4,furniture ,Tables,Credit Card
B-25763,3340.33,,7,CLOTHING,Tshirt,
B-26096,33834.0,2369.36,7,electronics,Electronic Games,
B-25991,11225.48,1210.44,2,Electronic,Electronic Games,Debit Card
B-25691,58995.58,-5544.44,3,furniture ,Chairs,Credit Card
B-25966,152224.59,-20442.1,8,Furniture,Bookcases,Debit Card
B-26076,,9861.19,6,Furniture,Chairs,
B-25624,,238.02,4,clothing,,Credit Card
B-25679,54013.73,9926.58,4,Electronics,Printers,COD
B-25665,8751.35,1731.67,3,Clothing,Saree,UPI
B-25800,19583.02,6275.14,8,Clothing ,Trouser,UPI
B-25906,12141.88,784.26,7,Clothing,Trousers,Debit Card
B-25981,72611.32,20121.39,5,Electronic,Accessories,Debit Card
,336.81,-25.56,1,CLOTHING,Trouser,COD
B-25661,18246.18,2662.93,1,Furniture,Chairs,Credit Card
B-25820,57298.73,,8,Furniture,Bookcases,Credit Card
B-25982,15654.35,3791.65,6,Clothing ,Hankerchief,EMI
B-25954,51209.66,-4254.8,8,furniture ,Furnishings,COD
B-25698,2230.55,248.78,3,clothing,Trousers,EMI
B-25998,16720.11,4695.77,6,Clothing ,Hankerchief,COD
B-26052,8980.79,499.29,3,clothing,T Shirt,Credit Card
B-25803,73239.96,-114.65,-9,Furniture,Furnishings,Debit Card
B-25640,42714.08,12600.77,4,Electronics,Electronic Games,EMI
B-25611,16783.92,2192.34,8,clothing,Hankerchief,UPI
B-25652,2059.01,-87.93,1,Clothing,Kurti,cod
B-25696,33538.32,7717.63,8,electronics,Printers,Credit Card
B-25659,5457.19,1898.91,9,Clothing ,Kurti,COD
,80502.76,18406.27,9,Furniture,Chairs,
B-25705,32653.79,8600.99,3,electronics,Electronic Games,Debit Card
B-25923,4535.71,1383.7,3,CLOTHING,Kurti,cod
B-25863,15414.85,2916.33,1,Furniture,Tables,COD
B-25964,66132.78,-2786.15,9,Electronics,Phones,COD
B-25771,4906.82,-707.51,2,Clothing,Hankerchief,Credit Card
B-25766,96629.44,22229.32,5,furniture ,Tables,Debit Card
B-25706,10752.75,3075.95,8,Furniture,Tables,UPI
B-25632,16032.59,2219.74,8,clothing,Hankerchief,COD
B-25936,2335.08,-75.85,3,Clothing ,Kurti,Debit Card
B-25778,86464.29,20917.12,7,Furniture,Furnishings,COD
B-26036,14487.8,1095.96,9,Clothing,T Shirt,
B-26049,70308.64,-5251.77,6,Electronics,Printers,UPI
B-25789,80864.07,14237.06,8,Electronic,Electronic Games,cod
B-25991,12257.74,197.29,1,Electronics,Phones,Credit Card
B-25603,9776.87,-38.4,9,Clothing,Hankerchief,Debit Card
B-25884,14863.74,3613.96,6,CLOTHING,Hankerchief,COD
B-25916,16669.96,1255.22,9,furniture ,Furnishings,UPI
B-26096,1597.02,423.97,2,Clothing,T Shirt,Debit Card
,122498.47,38370.43,7,Furniture,Bookcases,COD
B-25893,19373.05,-2621.52,7,furniture ,Chairs,cod
B-25899,62220.92,15195.82,4,Furniture,Furnishings,UPI
B-25922,132799.39,-11914.87,9,Furniture,Tables,cod
B-26004,2457.04,676.52,5,Clothing ,Trouser,Debit Card
,39442.29,4446.53,6,Furniture,Tables,UPI
,10007.16,-720.34,8,Electronics,Accessories,EMI
B-26084,13961.56,3462.52,1,electronics,Printers,Credit Card
B-26019,5895.95,652.83,3,CLOTHING,T-Shirt,Debit Card
,67356.94,17333.33,4,Furniture,Furnishings,UPI
B-26033,5249.51,722.88,1,electronics,Printers,UPI
B-25968,14652.2,-2073.67,1,Electronic,Phones,cod
B-25856,4645.65,1303.96,1,Electronic,Phones,UPI
,9438.19,2123.73,1,Furniture,Bookcases,cod
B-25732,45086.68,5406.86,6,Electronic,,Credit Card
B-25867,15385.63,2302.99,7,clothing,T-Shirt,cod
B-25741,53444.91,6153.25,3,,Bookcases,UPI
B-25805,78451.09,3129.64,8,furniture ,Bookcases,Credit Card
,102655.31,26010.68,8,Furniture,Chairs,COD
B-25702,24431.74,5058.15,-5,Furniture,Tables,cod
B-25626,5593.35,1006.76,2,CLOTHING,Trouser,EMI
,10543.5,1586.33,7,Electronic,Accessories,EMI
B-25686,24961.97,-2249.55,7,Electronics,Electronic Games,EMI
B-25995,115797.56,-2732.03,7,,Furnishings,Debit Card
B-25989,18086.56,4731.09,7,CLOTHING,Hankerchief,UPI
B-25776,5035.78,1640.53,2,CLOTHING,Sarees,EMI
B-25727,14683.85,-1420.08,1,Furniture,Bookcases,EMI
B-25975,4326.52,-150.89,2,Clothing,Hankerchief,cod
B-25960,57675.24,11608.31,5,Electronic,Phones,EMI
B-25981,30983.12,6170.46,4,Furniture,Furnishings,COD
B-25840,30525.99,1329.08,7,furniture ,Bookcases,Credit Card
B-26078,3864.16,-158.03,5,clothing,Trousers,cod
B-26020,2717.43,209.71,1,CLOTHING,Saree,UPI
B-25614,58293.87,18737.21,7,Electronics,Phones,cod
B-26074,1265.46,135.31,2,Clothing,Kurti,UPI
B-26069,21873.42,-1586.64,4,electronics,Electronic Games,Debit Card
B-26080,19021.56,6131.27,1,Furniture,,Debit Card
B-26054,4632.25,749.83,5,CLOTHING,T Shirt,COD
B-25996,,1240.18,8,Furniture,Bookcases,COD
B-26016,33966.52,2282.61,5,Electronic,Electronic Games,UPI
B-26055,6931.52,1172.54,5,CLOTHING,Saree,UPI
B-25791,10676.62,-695.27,7,Clothing ,Trousers,Debit Card
B-26089,115823.08,-16777.87,6,Furniture,Furnishings,COD
B-25664,49613.61,2486.21,9,furniture ,Tables,Credit Card
,44146.6,-327.18,8,CLOTHING,Kurti,UPI
B-25768,104265.56,34834.78,8,Electronic,Phones,Debit Card
B-25681,17990.13,-1540.42,1,Furniture,Chairs,EMI
B-25701,15983.35,-1185.37,1,Furniture,Chairs,COD
B-25992,5313.38,-457.3,5,CLOTHING,trousers,cod
B-25687,36036.78,2372.29,4,electronics,Accessories,UPI
B-25621,33021.2,6285.68,6,Electronic,Electronic Games,Debit Card
B-25674,,1143.54,2,CLOTHING,trousers,Debit Card
B-26007,38672.36,2288.12,4,Electronic,Printers,cod
B-25622,92824.64,-2894.39,6,Furniture,Tables,COD
B-26078,8505.05,1826.31,3,Clothing ,Sarees,EMI
B-26047,12475.81,-134.38,1,Electronic,Printers,UPI
B-25748,1357.4,337.99,1,clothing,trousers,EMI
B-25886,1445.47,440.3,1,Electronic,Electronic Games,cod
B-25695,16142.29,-1909.83,3,Electronics,Printers,UPI
B-25988,8475.43,224.81,5,clothing,Kurti,UPI
,54245.84,8656.9,7,Electronics,Phones,Credit Card
B-25675,39967.38,4468.4,6,Furniture,Tables,Debit Card
B-25745,77107.14,-8030.73,9,Furniture,Tables,Debit Card
B-25911,93985.22,-12229.08,7,Electronics,,cod
B-25703,577.87,45.36,1,Clothing ,T Shirt,Credit Card
B-25986,11717.41,343.19,1,Furniture,Chairs,UPI
B-25674,25456.02,8660.94,2,Furniture,Chairs,Debit Card
B-26065,42090.28,6713.22,4,Electronic,Phones,Debit Card
B-25699,11327.5,3434.91,1,Furniture,Bookcases,COD
B-25645,7341.01,-813.18,3,Clothing,Kurti,
,5360.7,1710.91,7,Clothing,Hankerchief,COD
,65800.24,1131.8,7,Furniture,Chairs,UPI
B-25962,67874.05,,7,furniture ,Tables,cod
B-25938,133969.88,-10182.77,9,Furniture,Tables,Debit Card
B-25861,1701.79,268.87,2,Clothing,Kurti,UPI
,1901.35,653.43,1,Electronic,Accessories,EMI
,87228.43,-8598.87,5,Furniture,Tables,cod
B-26070,5078.3,-365.69,2,clothing,Tshirt,
,12857.37,2528.63,7,Furniture,Tables,EMI
B-25800,19583.02,6275.14,8,Clothing ,Trouser,UPI
B-26099,56731.57,-6162.92,3,Furniture,Furnishings,EMI
B-25608,7657.32,-398.25,4,Clothing,Kurti,
B-25609,90033.2,12908.56,8,Furniture,Tables,Debit Card
B-25766,96629.44,22229.32,5,furniture ,Tables,Debit Card
B-26042,2715.5,600.47,4,Clothing ,T Shirt,Debit Card
B-25690,10388.83,-1269.24,4,CLOTHING,Tshirt,UPI
B-25961,7917.99,-772.76,5,clothing,Kurti,Debit Card
B-26024,12118.05,2548.22,5,Clothing ,Tshirt,
B-25641,3365.81,278.69,2,Furniture,Furnishings,EMI
B-25620,3337.11,516.53,3,Clothing ,Kurti,cod
B-26005,5641.48,,5,Clothing ,Hankerchief,COD
B-26001,2963.37,766.22,2,Clothing ,Tshirt,cod
B-25821,9253.2,677.11,7,CLOTHING,Sarees,Credit Card
B-25915,25303.44,572.15,8,Furniture,Tables,UPI
B-25708,8023.15,,1,electronics,Printers,Credit Card
B-25838,11964.33,37.41,4,CLOTHING,Trouser,COD
,85476.66,-4554.4,6,Furniture,Chairs,UPI
B-25685,11213.88,-172.45,2,,Tables,Credit Card
B-26035,,3004.84,1,Electronic,,Credit Card
B-25857,46801.84,15875.12,9,Furniture,Tables,EMI
B-25957,143907.45,42587.41,9,furniture ,Bookcases,Debit Card
B-25709,7003.87,164.43,4,clothing,Hankerchief,EMI
B-25979,38503.83,-1984.38,2,Furniture,Tables,EMI
B-25881,23369.97,-2164.42,9,Clothing ,Tshirt,Debit Card
B-25986,12177.69,-1607.34,7,furniture ,Chairs,Credit Card
B-25896,13756.72,-316.58,6,CLOTHING,Saree,COD
,14462.17,2875.92,6,CLOTHING,Trousers,COD
B-25889,13636.12,-913.39,8,CLOTHING,Sarees,UPI
B-26034,78433.74,,5,furniture ,Chairs,Credit Card
,20704.83,-1086.91,-2,Furniture,Tables,Debit Card
,10964.15,1515.64,6,Clothing,Kurti,cod
B-25826,8237.28,190.78,1,furniture ,Furnishings,UPI
B-25716,2764.21,496.07,1,Electronic,Phones,COD
,20587.75,7096.92,4,Furniture,Furnishings,EMI
B-25959,2811.46,-226.16,1,CLOTHING,Kurti,Debit Card
B-25833,968.13,320.99,2,Clothing ,Sarees,cod
B-25951,2613.66,,6,Clothing,T-Shirt,Credit Card
B-26046,2437.93,183.79,1,Electronics,Electronic Games,COD
,45626.44,-6103.83,5,Electronic,Electronic Games,EMI
B-25935,8160.32,,2,Electronics,Accessories,Debit Card
B-25666,59020.33,-3845.77,8,Furniture,Furnishings,COD
B-25642,5653.52,1477.27,6,Electronics,Accessories,UPI
B-25832,30625.24,8042.2,6,Electronics,Printers,Debit Card
B-25629,14004.3,-868.79,2,Electronic,Accessories,UPI
B-25646,9758.23,273.1,5,Clothing ,trousers,cod
B-25997,50167.86,9963.57,3,Furniture,Furnishings,COD
B-26046,,330.48,1,clothing,T Shirt,UPI
B-25628,23423.67,4257.27,8,Furniture,Furnishings,Debit Card
B-25993,39287.05,,8,electronics,Printers,UPI
B-25756,10244.42,-730.73,6,CLOTHING,Saree,UPI
B-25822,10909.21,2127.32,6,Clothing ,trousers,UPI
B-25955,21502.32,5798.51,2,Electronics,Printers,UPI
B-25951,37310.67,1960.73,2,furniture ,Bookcases,UPI
B-25845,61607.21,16660.79,9,Electronic,Electronic Games,Credit Card
B-26028,45573.38,-92.45,7,Electronics,Accessories,cod
B-25939,10440.86,2560.67,6,CLOTHING,T-Shirt,Credit Card
B-26082,14060.0,2869.1,1,Electronic,,EMI
B-25924,89624.06,17588.4,9,Electronics,Printers,cod
B-25764,10527.56,664.19,7,Clothing ,Saree,EMI
B-25858,42444.8,11475.02,4,Furniture,Furnishings,
B-25736,101665.06,29124.29,9,furniture ,Furnishings,cod
B-25723,157775.83,13495.0,8,Furniture,Bookcases,cod
B-25607,8265.5,48.4,3,Clothing,Kurti,Credit Card
B-25759,1811.58,-263.52,1,Clothing ,Tshirt,Debit Card
B-25817,5105.84,,7,electronics,Accessories,UPI
B-25891,79897.94,5605.78,8,electronics,Phones,COD
B-26049,13118.81,3799.11,8 units,furniture ,Bookcases,UPI
B-25726,68786.66,9510.32,5,Electronic,Phones,Credit Card
B-25638,2481.01,313.62,1,electronics,Accessories,Debit Card
B-25657,12097.32,3983.29,6,Furniture,Tables,Credit Card
B-25922,132799.39,-11914.87,9,Furniture,Tables,cod
B-25752,40121.2,-5127.96,9,electronics,Accessories,cod
B-25888,54716.31,-351.88,5,furniture ,Furnishings,COD
B-26090,21526.44,7444.88,8,,Bookcases,COD
B-25653,5907.86,252.26,3,CLOTHING,Hankerchief,Credit Card
B-25802,46381.07,3204.29,4,electronics,Phones,UPI
B-25927,93844.85,-6829.1,7,Electronic,Phones,cod
,55588.08,-5747.92,7,Electronics,Accessories,Debit Card
,17111.38,-1446.14,8,Furniture,Chairs,Debit Card
